ID,Name,Difficulty,Age,Injury,Muscle Group,Type,Equipment,Description,BMI Range
1,Quad Sets,Beginner,All,"Torn ACL, Torn Meniscus",Quadriceps,Flexibility,nan,"Sit or lie down with your leg extended. Contract and hold the quadriceps muscle while keeping the leg straight. Perform 10-15 reps, 3 sets.",All
2,Straight Leg Raises,Beginner,All,"Torn ACL, Torn Meniscus, Torn Achilles","Quadriceps, Hip Flexors",Strength,nan,"Lie on your back with both legs straight. Lift one leg slowly while keeping it straight, targeting the quadriceps and hip flexors. Perform 10-15 reps, 3 sets.",All
3,Heel Slides,Beginner,All,"Torn ACL, Torn Meniscus","Hamstrings, Quadriceps",Flexibility,nan,"Lie on your back with legs straight. Slide the heel towards the buttocks to improve knee flexion and mobility. Perform 10-15 reps, 3 sets.",All
4,Calf Raises,Beginner,All,"Torn ACL, Torn Meniscus, Torn Achilles","Calves, Hamstrings",Strength,nan,"Stand with feet hip-width apart. Raise up onto the toes to strengthen the calves and improve balance. Perform 15-20 reps, 3 sets.",All
5,Seated Knee Extensions,Beginner,All,"Torn ACL, Torn Meniscus",Quadriceps,Strength,nan,"Sit on a chair with feet flat on the floor. Extend the knee from a seated position to target the quadriceps. Perform 10-15 reps, 3 sets.",All
6,Mini Squats,Beginner,All,Torn Meniscus,"Quadriceps, Glutes",Strength,nan,"Stand with feet shoulder-width apart. Perform shallow squats to strengthen the quadriceps and glutes without stressing the knee. Perform 10-15 reps, 3 sets.",All
9,Side-Lying Leg Lifts,Beginner,All,Torn Meniscus,"Hip Abductors, Glutes",Strength,nan,"Lie on your side with legs straight. Lift the top leg while lying on the side to target the hip abductors and glutes. Perform 10-15 reps, 3 sets.",All
10,Clamshells,Beginner,All,Torn Meniscus,"Hip Abductors, Glutes",Strength,nan,"Lie on your side with legs bent at 90 degrees. Open and close the legs like a clamshell to strengthen the hip abductors and glutes. Perform 10-15 reps, 3 sets.",All
12,Ankle Pumps,Beginner,All,Torn Achilles,Calves,Flexibility,nan,"Sit or lie down with your leg extended. Move your foot up and down to improve circulation and mobility in the ankle. Perform 20-30 seconds, 3 sets per side.",All
13,Seated Calf Raises,Beginner,All,Torn Achilles,Calves,Strength,nan,"Sit on a chair with your feet flat on the floor. Raise your heels off the floor to strengthen the calf muscles. Perform 15-20 reps, 3 sets.",All
14,Resisted Ankle Dorsiflexion,Beginner,All,Torn Achilles,"Calves, Shin Muscles",Strength,Resistance Band,"Sit with your leg extended. Wrap a resistance band around your foot and pull it towards you to strengthen the calf and shin muscles. Perform 10-15 reps, 3 sets.",All
17,Standing Hamstring Curls,Intermediate,Under 65,"Torn ACL, Torn Meniscus, Torn Achilles","Hamstrings, Glutes",Strength,nan,"Stand with feet hip-width apart. Curl the leg up towards the buttocks to target the hamstrings and glutes. Perform 10-15 reps, 3 sets.",All
19,Step-Ups,Intermediate,Under 60,"Torn ACL, Torn Meniscus","Quadriceps, Glutes",Strength,nan,"Stand in front of a raised platform. Step onto a raised platform to strengthen the quadriceps and glutes. Use dumbbells if comfortable. Perform 10-12 reps per leg, 3 sets.",< 30
